comparison,split,suite,left_step,left_H,right_step,right_H,family,left_calls_per_episode,right_calls_per_episode,left_calls_per_controlled_step,right_calls_per_controlled_step,relative_right_calls_saved,relative_right_call_density_saved,episodes,left_success_rate,right_success_rate,success_change,ci95_low,ci95_high,recovered_episodes,regressed_episodes,p_exact,p_holm
replanning_gap,confirmation,libero_10,0,5,0,20,frequency,59.56,22.53,0.20118902850966086,0.05055196553581045,0.6217259905977166,0.7487339846000449,100,0.93,0.49,0.44,0.35,0.53,47,3,3.708322537931963e-11,2.595825776552374e-10
training_benefit,confirmation,libero_10,100,20,0,20,secondary,21.95,22.53,0.05067762565511509,0.05055196553581045,-0.026423690205011452,0.002479597607035089,100,0.5,0.49,0.01,-0.09,0.11,16,15,1.0,1.0
training_benefit,confirmation,libero_10,500,20,0,20,primary,18.86,22.53,0.050964708425660706,0.05055196553581045,-0.19459172852598083,0.00809860200519541,100,0.72,0.49,0.23,0.14,0.32,33,10,0.0006061066312668117,0.0006061066312668117
more_updates,confirmation,libero_10,500,20,100,20,secondary,18.86,21.95,0.050964708425660706,0.05067762565511509,-0.16383881230116648,0.005632971901808559,100,0.72,0.5,0.22,0.13,0.31,30,8,0.0004719867429230362,0.010383708344306797
replanning_gap,screen,libero_10,0,5,0,15,frequency,60.38,23.66,0.2011727860331845,0.06773159280888584,0.608148393507784,0.6633163255107817,50,0.84,0.8,0.04,-0.08,0.16,7,5,0.7744140625,0.7744140625
replanning_gap,screen,libero_10,0,5,0,20,frequency,60.38,21.44,0.2011727860331845,0.05054934691375489,0.6449155349453461,0.7487267144303678,50,0.84,0.54,0.3,0.18,0.42,16,1,0.000274658203125,0.0010986328125
replanning_gap,screen,libero_10,0,5,0,25,frequency,60.38,19.86,0.2011727860331845,0.04054716210698244,0.67108314011262,0.7984460875324659,50,0.84,0.24,0.6,0.48,0.72,31,1,1.5366822481155396e-08,9.220093488693237e-08
training_benefit,screen,libero_10,100,15,0,15,secondary,22.8,23.66,0.06781274165724822,0.06773159280888584,-0.03771929824561404,0.0011966607805439233,50,0.78,0.8,-0.02,-0.12,0.08,5,6,1.0,1.0
training_benefit,screen,libero_10,100,20,0,20,secondary,22.0,21.44,0.05062359059321644,0.05054934691375489,0.025454545454545507,0.0014665826463817755,50,0.52,0.54,-0.02,-0.18,0.14,9,10,1.0,1.0
training_benefit,screen,libero_10,100,25,0,25,secondary,19.62,19.86,0.040602624063573525,0.04054716210698244,-0.012232415902140747,0.0013659697586108077,50,0.3,0.24,0.06,-0.1,0.2,11,8,0.6476058959960938,1.0
training_benefit,screen,libero_10,300,20,0,20,secondary,19.38,21.44,0.05085546341975438,0.05054934691375489,-0.10629514963880293,0.006019343555535794,50,0.72,0.54,0.18,0.02,0.34,16,7,0.0931396484375,1.0
more_updates,screen,libero_10,300,20,100,20,secondary,19.38,22.0,0.05085546341975438,0.05062359059321644,-0.1351909184726523,0.004559447716051546,50,0.72,0.52,0.2,0.08,0.32,12,2,0.012939453125,0.21319617331027985
