split,step,suite,horizon,episodes_per_task,seed,initial_state_start,H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds,task_0_success_rate,task_1_success_rate,task_2_success_rate,task_3_success_rate,task_4_success_rate,task_5_success_rate,task_6_success_rate,task_7_success_rate,task_8_success_rate,task_9_success_rate
screen,0,libero_10,5,5,17,20,5,50,50,42,0.84,0.7148578393696501,0.916625793219666,60.38,300.14,310.14,0.2011727860331845,4.966594978660521,14.12331240227446,0.8,0.8,1.0,1.0,1.0,1.0,0.6,1.0,0.2,1.0
screen,0,libero_10,15,5,17,20,15,50,50,40,0.8,0.6696289406777459,0.887562499842239,23.66,349.32,359.32,0.06773159280888584,14.740069842316085,9.036490170396865,0.8,1.0,0.8,1.0,0.8,0.8,0.8,1.0,0.4,0.6
screen,0,libero_10,20,5,17,20,20,50,50,27,0.54,0.40398871399157477,0.6703034780777566,21.44,424.14,434.14,0.05054934691375489,19.72617309721433,10.057890759538859,0.2,0.6,0.6,1.0,0.2,1.0,0.4,0.8,0.2,0.4
screen,0,libero_10,25,5,17,20,25,50,50,12,0.24,0.1429739139699173,0.3741268375794292,19.86,489.8,499.8,0.04054716210698244,24.64385722662273,11.021890872959048,0.0,0.0,0.4,0.2,0.0,0.6,0.4,0.4,0.0,0.4
screen,100,libero_10,15,5,17,20,15,50,50,39,0.78,0.6475845041874634,0.8724608402978559,22.8,336.22,346.22,0.06781274165724822,14.722446510393405,8.878688862212002,1.0,1.0,0.8,1.0,1.0,1.0,0.2,1.0,0.0,0.8
screen,100,libero_10,20,5,17,20,20,50,50,26,0.52,0.38511744890044614,0.6520286471342196,22.0,434.58,444.58,0.05062359059321644,19.692099583251284,10.455983209703117,0.4,0.8,0.4,1.0,0.6,0.8,0.0,0.8,0.0,0.4
screen,100,libero_10,25,5,17,20,25,50,50,15,0.3,0.19103553500880954,0.437503504644534,19.62,483.22,493.22,0.040602624063573525,24.582027966787276,10.797906462606043,0.4,0.0,0.4,0.6,0.4,0.6,0.0,0.6,0.0,0.0
screen,300,libero_10,20,5,17,20,20,50,50,36,0.72,0.5833487630404344,0.8252582933408878,19.38,381.08,391.08,0.05085546341975438,19.607553785481805,9.330237912777811,0.8,1.0,1.0,1.0,0.8,0.8,0.2,0.8,0.0,0.8
screen,500,libero_10,15,5,17,20,15,50,50,42,0.84,0.7148578393696501,0.916625793219666,21.6,317.58,327.58,0.06801435858681278,14.674568134084696,8.353085451349616,1.0,1.0,0.8,1.0,1.0,0.8,0.4,1.0,0.4,1.0
screen,500,libero_10,20,5,17,20,20,50,50,39,0.78,0.6475845041874634,0.8724608402978559,18.22,356.48,366.48,0.051110861759425495,19.48525524894259,8.6030693927221,1.0,1.0,1.0,1.0,0.8,0.8,0.0,1.0,0.4,0.8
