condition,split,optimizer_step,action_chunk_length,average_executed_actions_per_policy_call,controlled_environment_steps,environment_steps,episode_index,episode_rng_seed,evaluation_fingerprint,first_observation_sha256,inference_fingerprint,initial_state_index,initial_state_sha256,mode,native_prediction_horizon,policy_call_control_steps,policy_calls,policy_calls_per_controlled_step,prediction_horizon,replan_steps,seed,settling_steps,success,task_description,task_id,task_suite,video_path,wall_clock_seconds
confirmation_libero_10_step1000_H20,confirmation,1000,50,19.857142857142858,278,288,0,2474880572,b888c67b645f88e82230374eec6a9e8a41638d6888c04610041197238320dba9,8d10210f56eeebfc838615702c8a19fb745a335428bd8f6c1cb57832af39a659,9870fb27c4c3aeb4934e3efcf4e8a1af3f876ec01e326d353f2b406e27ccd7cc,30,19e0f3dd0866c389374b3f35a6d9603f86c487154452af1b41ccfc8c63b90ec8,smoke,10,"[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260]",14,0.050359712230215826,50,20,27,10,True,put both the alphabet soup and the tomato sauce in the basket,0,libero_10,videos/smoke/libero_10/seed_27/H_20/task_00_episode_000_success.mp4,52.231817247346044
confirmation_libero_10_step1000_H20,confirmation,1000,50,20.0,300,310,1,1264236529,b888c67b645f88e82230374eec6a9e8a41638d6888c04610041197238320dba9,eb7fbbf27843da69312332175fb4ec44bd949d39b28e7f1edce54d01708ef4ca,9870fb27c4c3aeb4934e3efcf4e8a1af3f876ec01e326d353f2b406e27ccd7cc,31,b76a1814bb27d0c14b6b9fb5927fd0bd69e2d869ea201f94d5c4f8c04bdf7c2e,smoke,10,"[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280]",15,0.05,50,20,27,10,True,put both the alphabet soup and the tomato sauce in the basket,0,libero_10,videos/smoke/libero_10/seed_27/H_20/task_00_episode_001_success.mp4,56.06075394526124
confirmation_libero_10_step1000_H20,confirmation,1000,50,19.733333333333334,296,306,2,3939044323,b888c67b645f88e82230374eec6a9e8a41638d6888c04610041197238320dba9,a62f2f55dc3c3527ee61aaa1e9c8706a2a145cfa614ae67e03a4ef232d9386e0,9870fb27c4c3aeb4934e3efcf4e8a1af3f876ec01e326d353f2b406e27ccd7cc,32,33784af332c16d365e2821d5259c619eda5fde4968118f88adfc9eab97730848,smoke,10,"[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280]",15,0.05067567567567568,50,20,27,10,True,put both the alphabet soup and the tomato sauce in the basket,0,libero_10,videos/smoke/libero_10/seed_27/H_20/task_00_episode_002_success.mp4,55.39629807882011
confirmation_libero_10_step1000_H20,confirmation,1000,50,19.142857142857142,268,278,3,2906705514,b888c67b645f88e82230374eec6a9e8a41638d6888c04610041197238320dba9,31f1dfdd92f942028e9948a0e65b8966850f328f5bd879c2a499f2db05cc32b5,9870fb27c4c3aeb4934e3efcf4e8a1af3f876ec01e326d353f2b406e27ccd7cc,33,5c9bc6f2a5b7d83aff179da81757fb20495ec5a80a84ceca542b9e4e5d115e39,smoke,10,"[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260]",14,0.05223880597014925,50,20,27,10,True,put both the alphabet soup and the tomato sauce in the basket,0,libero_10,videos/smoke/libero_10/seed_27/H_20/task_00_episode_003_success.mp4,51.22198930103332
confirmation_libero_10_step1000_H20,confirmation,1000,50,19.214285714285715,269,279,4,3838629390,b888c67b645f88e82230374eec6a9e8a41638d6888c04610041197238320dba9,ec03735e8e783ebb6e93507fb42fc08af33344fec3ee24b9e143285cc86a750a,9870fb27c4c3aeb4934e3efcf4e8a1af3f876ec01e326d353f2b406e27ccd7cc,34,4a3273ac6502122445ad5b3b98800f280d3a5d231b06a89f7ddb8ac39d159054,smoke,10,"[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260]",14,0.05204460966542751,50,20,27,10,True,put both the alphabet soup and the tomato sauce in the basket,0,libero_10,videos/smoke/libero_10/seed_27/H_20/task_00_episode_004_success.mp4,51.76419711858034
confirmation_libero_10_step1000_H20,confirmation,1000,50,19.3125,309,319,5,2150139539,b888c67b645f88e82230374eec6a9e8a41638d6888c04610041197238320dba9,ef208192d64cbc481c7cc0197c8b14967080cdd178df0acfd8099f4485f84a95,9870fb27c4c3aeb4934e3efcf4e8a1af3f876ec01e326d353f2b406e27ccd7cc,35,336b8f5aa6585aaa4f3631893197cb6993a55e3071ecada7aa9982f8e4476323,smoke,10,"[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300]",16,0.05177993527508091,50,20,27,10,True,put both the alphabet soup and the tomato sauce in the basket,0,libero_10,videos/smoke/libero_10/seed_27/H_20/task_00_episode_005_success.mp4,57.91652464028448
confirmation_libero_10_step1000_H20,confirmation,1000,50,19.4,291,301,6,1812163566,b888c67b645f88e82230374eec6a9e8a41638d6888c04610041197238320dba9,6f80d30d4f94b34791624c4f30c9ccf8844efe21170a55569747eec9acc0ac51,9870fb27c4c3aeb4934e3efcf4e8a1af3f876ec01e326d353f2b406e27ccd7cc,36,a24ed341443fe40e15b073681dcbab65a77da538b3f60b761b7948457fe9be40,smoke,10,"[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280]",15,0.05154639175257732,50,20,27,10,True,put both the alphabet soup and the tomato sauce in the basket,0,libero_10,videos/smoke/libero_10/seed_27/H_20/task_00_episode_006_success.mp4,54.87001849338412
confirmation_libero_10_step1000_H20,confirmation,1000,50,19.642857142857142,275,285,7,3481446180,b888c67b645f88e82230374eec6a9e8a41638d6888c04610041197238320dba9,a8e49fc4272d62c8feca93f6110636fcf9006d610f5e17f311c26d43fbe8936f,9870fb27c4c3aeb4934e3efcf4e8a1af3f876ec01e326d353f2b406e27ccd7cc,37,6ea34f0fe33999cf5c40aaf628c4010587a011c063b8e048a892374d37322173,smoke,10,"[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260]",14,0.05090909090909091,50,20,27,10,True,put both the alphabet soup and the tomato sauce in the basket,0,libero_10,videos/smoke/libero_10/seed_27/H_20/task_00_episode_007_success.mp4,51.54115785751492
confirmation_libero_10_step1000_H20,confirmation,1000,50,19.11111111111111,344,354,8,1271963149,b888c67b645f88e82230374eec6a9e8a41638d6888c04610041197238320dba9,12a1442e71f2813cac2c729251663a178b175b2a9ca7cb94303191eb0408dced,9870fb27c4c3aeb4934e3efcf4e8a1af3f876ec01e326d353f2b406e27ccd7cc,38,f6380f5a36567d9c02dfba174a719a561ab260ef0b375aa597fc16841883dacf,smoke,10,"[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280, 300, 320, 340]",18,0.05232558139534884,50,20,27,10,True,put both the alphabet soup and the tomato sauce in the basket,0,libero_10,videos/smoke/libero_10/seed_27/H_20/task_00_episode_008_success.mp4,63.35926684178412
confirmation_libero_10_step1000_H20,confirmation,1000,50,19.2,288,298,9,3415642262,b888c67b645f88e82230374eec6a9e8a41638d6888c04610041197238320dba9,43106891ece0d0bc0c76cda11067e5fe4e942371b51ca69b938650c6859f10b2,9870fb27c4c3aeb4934e3efcf4e8a1af3f876ec01e326d353f2b406e27ccd7cc,39,c2698b783aee84ff8148627c99ac73554e8e67d3acdaf3f0a6262b0c7ce0b0d7,smoke,10,"[0, 20, 40, 60, 80, 100, 120, 140, 160, 180, 200, 220, 240, 260, 280]",15,0.052083333333333336,50,20,27,10,True,put both the alphabet soup and the tomato sauce in the basket,0,libero_10,videos/smoke/libero_10/seed_27/H_20/task_00_episode_009_success.mp4,55.13754735421389
