task_id,horizon,step,H,P,total_episodes,total_successes,success_rate,ci95_low,ci95_high,mean_policy_calls,mean_episode_length,mean_environment_steps_including_settling,policy_calls_per_environment_step,mean_executed_actions_per_policy_call,mean_wall_clock_seconds,mean_successful_actions,mean_successful_calls,mean_successful_seconds
0,5,0,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,66.5,330.2,340.2,0.2013930950938825,4.965710992984944,17.00409547399031,330.2,66.5,17.00409547399031
1,5,0,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,57.7,286.5,296.5,0.2013961605584642,4.967601129760901,14.959306392702274,286.5,57.7,14.959306392702274
2,5,0,5,50,10,9,0.9,0.5958499732047615,0.9821237869049271,55.7,277.3,287.3,0.20086548864046158,4.976955565204806,14.008473694592249,250.33333333333334,50.333333333333336,12.69613916809774
3,5,0,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,46.4,229.6,239.6,0.20209059233449478,4.947986833970546,12.130363475997001,229.6,46.4,12.130363475997001
4,5,0,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,51.1,253.4,263.4,0.20165745856353592,4.95890696237498,13.469815319380723,253.4,51.1,13.469815319380723
5,5,0,5,50,10,9,0.9,0.5958499732047615,0.9821237869049271,53.9,268.7,278.7,0.2005954596203945,4.981708780550886,12.806380396103487,240.77777777777777,48.333333333333336,11.62687289621681
6,5,0,5,50,10,7,0.7,0.39677814746114537,0.8922087325936989,69.3,345.5,355.5,0.20057887120115775,4.982892058378374,16.795259928982706,270.7142857142857,54.42857142857143,13.284710401985128
7,5,0,5,50,10,10,1.0,0.7224672001371107,0.9999999999999999,57.2,283.3,293.3,0.20190610660077657,4.9518035337614865,13.865103157015984,283.3,57.2,13.865103157015984
8,5,0,5,50,10,4,0.4,0.16818032970623614,0.6873262302663417,97.8,487.9,497.9,0.20045091207214594,4.987386283723309,16.464670413115527,439.75,88.5,13.950618119502906
9,5,0,5,50,10,9,0.9,0.5958499732047615,0.9821237869049271,60.3,299.9,309.9,0.20106702234078025,4.969883415853007,11.456384702422657,275.44444444444446,55.44444444444444,10.889964619134036
0,20,0,20,50,10,2,0.2,0.05668215145437519,0.5098375284633583,25.1,499.6,509.6,0.05024019215372298,19.89013157894737,13.1092646164936,418.0,21.5,11.389059408043977
1,20,0,20,50,10,4,0.4,0.16818032970623614,0.6873262302663417,24.9,494.3,504.3,0.050374266639692494,19.838424075924078,12.634522471518721,455.75,23.25,11.790751058782917
2,20,0,20,50,10,6,0.6,0.31267376973365824,0.8318196702937638,21.9,432.9,442.9,0.05058905058905059,19.730889083322115,10.237228024983779,374.8333333333333,19.166666666666668,8.95572245765167
3,20,0,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,17.1,332.3,342.3,0.0514595245260307,19.444104963495697,8.228211552125867,332.3,17.1,8.228211552125867
4,20,0,20,50,10,3,0.3,0.10779126740630099,0.6032218525388546,25.3,501.6,511.6,0.05043859649122807,19.815287878787878,12.736283015680964,458.6666666666667,23.666666666666668,11.821011430001818
5,20,0,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,13.2,251.5,261.5,0.052485089463220676,19.068790376290373,5.780489812290762,251.5,13.2,5.780489812290762
6,20,0,20,50,10,3,0.3,0.10779126740630099,0.6032218525388546,23.9,476.0,486.0,0.05021008403361345,19.881904761904764,11.194376632990316,373.3333333333333,19.0,9.176409584004432
7,20,0,20,50,10,9,0.9,0.5958499732047615,0.9821237869049271,20.3,395.4,405.4,0.051340414769853314,19.468115598711574,9.387564481189475,381.55555555555554,19.666666666666668,9.060913712652917
8,20,0,20,50,10,3,0.3,0.10779126740630099,0.6032218525388546,25.8,512.6,522.6,0.05033164260632072,19.865076923076924,11.319765435601585,495.3333333333333,25.333333333333332,11.397598029347137
9,20,0,20,50,10,4,0.4,0.16818032970623614,0.6873262302663417,23.9,474.3,484.3,0.050390048492515285,19.808957219251337,9.563263446185738,405.75,20.75,8.105766313965432
0,20,500,20,50,10,9,0.9,0.5958499732047615,0.9821237869049271,19.1,373.8,383.8,0.05109684323167469,19.550280974708723,9.979310306895059,357.55555555555554,18.333333333333332,9.65641433533488
1,20,500,20,50,10,10,1.0,0.7224672001371107,0.9999999999999999,16.0,309.8,319.8,0.051646223369916075,19.35389762842936,8.343355439428706,309.8,16.0,8.343355439428706
2,20,500,20,50,10,8,0.8,0.49016247153664183,0.9433178485456247,17.2,332.4,342.4,0.05174488567990373,19.224677871148458,8.107811741519253,285.5,15.0,7.121782888003509
