condition,task,success_rate
original_h5,CloseFridge,0.4
original_h5,CoffeeSetupMug,0.1
original_h5,OpenCabinet,0.4
original_h5,OpenDrawer,0.6
original_h5,PickPlaceCounterToCabinet,0.8
original_h5,PickPlaceCounterToStove,0.8
original_h5,PickPlaceSinkToCounter,1.0
original_h5,TurnOffStove,0.3
original_h5,TurnOnMicrowave,0.1
original_h5,TurnOnSinkFaucet,0.9
original_h20,CloseFridge,1.0
original_h20,CoffeeSetupMug,0.2
original_h20,OpenCabinet,0.4
original_h20,OpenDrawer,0.7
original_h20,PickPlaceCounterToCabinet,0.7
original_h20,PickPlaceCounterToStove,0.7
original_h20,PickPlaceSinkToCounter,1.0
original_h20,TurnOffStove,0.2
original_h20,TurnOnMicrowave,0.4
original_h20,TurnOnSinkFaucet,0.5
step500_h20,CloseFridge,0.1
step500_h20,CoffeeSetupMug,0.0
step500_h20,OpenCabinet,0.4
step500_h20,OpenDrawer,0.3
step500_h20,PickPlaceCounterToCabinet,0.5
step500_h20,PickPlaceCounterToStove,0.5
step500_h20,PickPlaceSinkToCounter,0.8
step500_h20,TurnOffStove,0.3
step500_h20,TurnOnMicrowave,0.1
step500_h20,TurnOnSinkFaucet,0.5
