condition,task_id,episode_index,initial_state_index,success,executed_actions,policy_calls
Original H5,0,0,30,True,378,76
Original H5,0,1,31,True,299,60
Original H5,0,2,32,True,343,69
Original H5,0,3,33,True,271,55
Original H5,0,4,34,True,285,57
Original H5,0,5,35,True,285,57
Original H5,0,6,36,True,322,65
Original H5,0,7,37,True,420,84
Original H5,0,8,38,True,278,56
Original H5,0,9,39,True,325,65
Original H5,1,0,30,True,257,52
Original H5,1,1,31,True,265,53
Original H5,1,2,32,True,252,51
Original H5,1,3,33,True,355,71
Original H5,1,4,34,True,260,52
Original H5,1,5,35,True,286,58
Original H5,1,6,36,True,303,61
Original H5,1,7,37,True,246,50
Original H5,1,8,38,True,237,48
Original H5,1,9,39,True,271,55
Original H5,2,0,30,True,279,56
Original H5,2,1,31,True,271,55
Original H5,2,2,32,True,245,49
Original H5,2,3,33,True,254,51
Original H5,2,4,34,True,308,62
Original H5,2,5,35,True,252,51
Original H5,2,6,36,True,241,49
Original H5,2,7,37,True,269,54
Original H5,2,8,38,True,242,49
Original H5,2,9,39,True,241,49
Original H5,3,0,30,True,224,45
Original H5,3,1,31,True,236,48
Original H5,3,2,32,True,238,48
Original H5,3,3,33,True,233,47
Original H5,3,4,34,True,216,44
Original H5,3,5,35,True,244,49
Original H5,3,6,36,True,244,49
Original H5,3,7,37,True,228,46
Original H5,3,8,38,True,210,42
Original H5,3,9,39,True,237,48
Original H5,4,0,30,True,258,52
Original H5,4,1,31,True,249,50
Original H5,4,2,32,True,239,48
Original H5,4,3,33,True,257,52
Original H5,4,4,34,True,243,49
Original H5,4,5,35,True,239,48
Original H5,4,6,36,True,247,50
Original H5,4,7,37,True,308,62
Original H5,4,8,38,True,247,50
Original H5,4,9,39,True,253,51
Original H5,5,0,30,True,194,39
Original H5,5,1,31,True,241,49
Original H5,5,2,32,True,185,37
Original H5,5,3,33,True,222,45
Original H5,5,4,34,True,194,39
Original H5,5,5,35,True,190,38
Original H5,5,6,36,True,225,45
Original H5,5,7,37,True,202,41
Original H5,5,8,38,True,242,49
Original H5,5,9,39,True,398,80
Original H5,6,0,30,True,234,47
Original H5,6,1,31,True,227,46
Original H5,6,2,32,False,520,104
Original H5,6,3,33,True,276,56
Original H5,6,4,34,True,233,47
Original H5,6,5,35,True,255,51
Original H5,6,6,36,True,262,53
Original H5,6,7,37,True,240,48
Original H5,6,8,38,False,520,104
Original H5,6,9,39,True,409,82
Original H5,7,0,30,True,244,49
Original H5,7,1,31,True,279,56
Original H5,7,2,32,True,287,58
Original H5,7,3,33,True,344,69
Original H5,7,4,34,True,299,60
Original H5,7,5,35,True,261,53
Original H5,7,6,36,True,313,63
Original H5,7,7,37,True,319,64
Original H5,7,8,38,True,263,53
Original H5,7,9,39,True,278,56
Original H5,8,0,30,True,437,88
Original H5,8,1,31,False,520,104
Original H5,8,2,32,True,458,92
Original H5,8,3,33,False,520,104
Original H5,8,4,34,True,389,78
Original H5,8,5,35,False,520,104
Original H5,8,6,36,True,430,86
Original H5,8,7,37,False,520,104
Original H5,8,8,38,True,468,94
Original H5,8,9,39,True,434,87
Original H5,9,0,30,True,321,65
Original H5,9,1,31,True,249,50
Original H5,9,2,32,True,253,51
Original H5,9,3,33,True,253,51
Original H5,9,4,34,True,285,57
Original H5,9,5,35,True,266,54
Original H5,9,6,36,True,315,63
Original H5,9,7,37,True,411,83
Original H5,9,8,38,True,289,58
Original H5,9,9,39,False,520,104
Original H20,0,0,30,False,520,26
Original H20,0,1,31,True,399,20
Original H20,0,2,32,True,478,24
Original H20,0,3,33,True,347,18
Original H20,0,4,34,True,416,21
Original H20,0,5,35,False,520,26
Original H20,0,6,36,False,520,26
Original H20,0,7,37,False,520,26
Original H20,0,8,38,False,520,26
Original H20,0,9,39,False,520,26
Original H20,1,0,30,False,520,26
Original H20,1,1,31,True,469,24
Original H20,1,2,32,False,520,26
Original H20,1,3,33,False,520,26
Original H20,1,4,34,False,520,26
Original H20,1,5,35,True,420,21
Original H20,1,6,36,False,520,26
Original H20,1,7,37,True,495,25
Original H20,1,8,38,False,520,26
Original H20,1,9,39,False,520,26
Original H20,2,0,30,False,520,26
Original H20,2,1,31,True,317,16
Original H20,2,2,32,False,520,26
Original H20,2,3,33,True,379,19
Original H20,2,4,34,False,520,26
Original H20,2,5,35,True,377,19
Original H20,2,6,36,False,520,26
Original H20,2,7,37,False,520,26
Original H20,2,8,38,True,378,19
Original H20,2,9,39,False,520,26
Original H20,3,0,30,True,305,16
Original H20,3,1,31,True,314,16
Original H20,3,2,32,True,306,16
Original H20,3,3,33,False,520,26
Original H20,3,4,34,True,448,23
Original H20,3,5,35,True,295,15
Original H20,3,6,36,True,278,14
Original H20,3,7,37,True,354,18
Original H20,3,8,38,True,267,14
Original H20,3,9,39,True,395,20
Original H20,4,0,30,False,520,26
Original H20,4,1,31,True,442,23
Original H20,4,2,32,False,520,26
Original H20,4,3,33,False,520,26
Original H20,4,4,34,True,442,23
Original H20,4,5,35,False,520,26
Original H20,4,6,36,False,520,26
Original H20,4,7,37,True,411,21
Original H20,4,8,38,False,520,26
Original H20,4,9,39,False,520,26
Original H20,5,0,30,True,226,12
Original H20,5,1,31,True,241,13
Original H20,5,2,32,True,261,14
Original H20,5,3,33,True,331,17
Original H20,5,4,34,False,520,26
Original H20,5,5,35,True,210,11
Original H20,5,6,36,True,265,14
Original H20,5,7,37,True,221,12
Original H20,5,8,38,True,222,12
Original H20,5,9,39,True,463,24
Original H20,6,0,30,True,412,21
Original H20,6,1,31,False,520,26
